Name,Address,Source,XmlTag,RawName
BoardCalibSubpixelWinAuto,0x204a000c,RegAddrGroup,Integer,BoardCalibSubpixelWinAuto_RegAddr
BoardCalibWeightFactor,0x204a0028,RegAddrGroup,Integer,BoardCalibWeightFactor_RegAddr
BoardCalibWeightFun,0x204a0024,RegAddrGroup,Integer,BoardCalibWeightFun_RegAddr
BoardDeviceType,0x0003004c,RegAddrGroup,Integer,BoardDeviceType_RegAddr
BoardcalibModuleCustomName,0x204a04d8,RegAddrGroup,Integer,BoardcalibModuleCustomName_RegAddr
Brightness,0x0003133c,RegAddrGroup,Integer,Brightness_RegAddr
BrightnessInq,0x000104e0,RegAddrGroup,Integer,BrightnessInq_RegAddr
BrightnessLevel,0x20010088,RegAddrGroup,Integer,BrightnessLevel_RegAddr
BrightnessMaxInq,0x000104e8,RegAddrGroup,Integer,BrightnessMaxInq_RegAddr
BrightnessMinInq,0x000104e4,RegAddrGroup,Integer,BrightnessMinInq_RegAddr
BrightnessMode,0x20010084,RegAddrGroup,Integer,BrightnessMode_RegAddr
BrightnessUintInq,0x000104ec,RegAddrGroup,Integer,BrightnessUintInq_RegAddr
BurstEnable,0x200101d8,RegAddrGroup,Integer,BurstEnable_RegAddr
ButtonOperateModule,0x05010044,RegAddrGroup,Integer,ButtonOperateModule_RegAddr
ButtonOperateSln,0x05010004,RegAddrGroup,Integer,ButtonOperateSln_RegAddr
ButtonSupperModuleCtrl,0x05010000,RegAddrGroup,Integer,ButtonSupperModuleCtrl_RegAddr
CHAP,0x00040408,RegAddrGroup,Integer,CHAP_RegAddr
CalcularResetButton,0x204b0054,RegAddrGroup,Integer,CalcularResetButton_RegAddr
CalcularResetCommStr,0x204b0098,RegAddrGroup,Integer,CalcularResetCommStr_RegAddr
CalcularResetValue,0x204b0058,RegAddrGroup,Integer,CalcularResetValue_RegAddr
CalculatorEnter,0x204b0000,RegAddrGroup,Integer,CalculatorEnter_RegAddr
CalculatorModuleCustomName,0x204b0014,RegAddrGroup,Integer,CalculatorModuleCustomName_RegAddr
CalibConvertAlgorithmVersion,0x205a00c4,RegAddrGroup,Integer,CalibConvertAlgorithmVersion_RegAddr
CalibConvertCalibJoint0Angle,0x205a0358,RegAddrGroup,Integer,CalibConvertCalibJoint0Angle_RegAddr
CalibConvertCalibJoint1Angle,0x205a035c,RegAddrGroup,Integer,CalibConvertCalibJoint1Angle_RegAddr
CalibConvertCalibPointX,0x205a0350,RegAddrGroup,Integer,CalibConvertCalibPointX_RegAddr
CalibConvertCalibPointY,0x205a0354,RegAddrGroup,Integer,CalibConvertCalibPointY_RegAddr
CalibConvertCheckModelValid,0x205a03b8,RegAddrGroup,Integer,CalibConvertCheckModelValid_RegAddr
CalibConvertCoordinateMode,0x205a0000,RegAddrGroup,Integer,CalibConvertCoordinateMode_RegAddr
CalibConvertDeleteModelName,0x205a01c8,RegAddrGroup,Integer,CalibConvertDeleteModelName_RegAddr
CalibConvertEnableCalibPose,0x205a034c,RegAddrGroup,Integer,CalibConvertEnableCalibPose_RegAddr
CalibConvertEnableRunPose,0x205a0360,RegAddrGroup,Integer,CalibConvertEnableRunPose_RegAddr
CalibConvertModelMangListShowEnable,0x205a0348,RegAddrGroup,Integer,CalibConvertModelMangListShowEnable_RegAddr
CalibConvertModelMangPath,0x205a02c8,RegAddrGroup,Integer,CalibConvertModelMangPath_RegAddr
CalibConvertResultDrawEnable,0x205a0144,RegAddrGroup,Integer,CalibConvertResultDrawEnable_RegAddr
CalibConvertRunJoint0Angle,0x205a036c,RegAddrGroup,Integer,CalibConvertRunJoint0Angle_RegAddr
CalibConvertRunJoint1Angle,0x205a0370,RegAddrGroup,Integer,CalibConvertRunJoint1Angle_RegAddr
CalibConvertRunPointX,0x205a0364,RegAddrGroup,Integer,CalibConvertRunPointX_RegAddr
CalibConvertRunPointY,0x205a0368,RegAddrGroup,Integer,CalibConvertRunPointY_RegAddr
CalibConvertSwitchModelName,0x205a0248,RegAddrGroup,Integer,CalibConvertSwitchModelName_RegAddr
CalibConvertUploadModelName,0x205a0148,RegAddrGroup,Integer,CalibConvertUploadModelName_RegAddr
CalibconvertModuleCustomName,0x205a0378,RegAddrGroup,Integer,CalibconvertModuleCustomName_RegAddr
CalibrateCommDevice,0x05000584,RegAddrGroup,Integer,CalibrateCommDevice_RegAddr
CalibrateSegmentCharacter,0x05000484,RegAddrGroup,Integer,CalibrateSegmentCharacter_RegAddr
CalibrateSignal,0x05000184,RegAddrGroup,Integer,CalibrateSignal_RegAddr
CalibrateSignalEndCharacter,0x05000604,RegAddrGroup,Integer,CalibrateSignalEndCharacter_RegAddr
CalibrateSignalNGResponse,0x05000284,RegAddrGroup,Integer,CalibrateSignalNGResponse_RegAddr
CalibrateSignalOKResponse,0x05000204,RegAddrGroup,Integer,CalibrateSignalOKResponse_RegAddr
Category_Inq,0x0003d080,RegAddrGroup,Integer,Category_Inq_RegAddr
CcmAttrData,0x20010118,RegAddrGroup,Integer,CcmAttrData_RegAddr
CcmReset,0x20010114,RegAddrGroup,Integer,CcmReset_RegAddr
CharhorizontalAngleSearchStep,0x206b00d4,RegAddrGroup,Integer,CharhorizontalAngleSearchStep_RegAddr
CharhorizontalBinarizationMethod,0x206b00e0,RegAddrGroup,Integer,CharhorizontalBinarizationMethod_RegAddr
CharhorizontalCorrectionFactor,0x206b00ec,RegAddrGroup,Integer,CharhorizontalCorrectionFactor_RegAddr
CharhorizontalDefectAngleRange,0x206b00d0,RegAddrGroup,Integer,CharhorizontalDefectAngleRange_RegAddr
CharhorizontalDefectFusionThreshold,0x206b00dc,RegAddrGroup,Integer,CharhorizontalDefectFusionThreshold_RegAddr
CharhorizontalDefectThreshold,0x206b00d8,RegAddrGroup,Integer,CharhorizontalDefectThreshold_RegAddr
CharhorizontalDefectWidthThreshold,0x206b00c8,RegAddrGroup,Integer,CharhorizontalDefectWidthThreshold_RegAddr
CharhorizontalDetectionThreshold,0x206b00cc,RegAddrGroup,Integer,CharhorizontalDetectionThreshold_RegAddr
CharhorizontalDynamicRange,0x206b00f0,RegAddrGroup,Integer,CharhorizontalDynamicRange_RegAddr
CharhorizontalEnable,0x206b0120,RegAddrGroup,Integer,CharhorizontalEnable_RegAddr
CharhorizontalFilterKernelHeight,0x206b00f8,RegAddrGroup,Integer,CharhorizontalFilterKernelHeight_RegAddr
CharhorizontalFilterKernelWidth,0x206b00f4,RegAddrGroup,Integer,CharhorizontalFilterKernelWidth_RegAddr
